round,variant,label,successes,scenarios,mean_total_s,mean_per_source_s,p90_total_s,p95_total_s,max_total_s,mean_movement_m,mean_measure_count,mean_clear_count,lesson
1,baseline,原始保证性基线,500,500,3284.890484028702,256.45944409882344,3684.142548389352,3782.3650395057703,4154.140530294289,12957.41242014351,104.164,15.36,冻结同一500场与评价口径。
2,no_opportunity,关闭机会清除,500,500,3741.5496007668235,292.90533615928763,4046.659695744367,4121.8158818455595,4435.603014997728,15240.38800383412,104.212,15.176,尾段形成独立大巡回，说明机会式服务不能删除。
3,gate250,机会绕路硬门限250m,500,500,3597.310782505839,281.5999766498545,3953.2662812423564,4026.868469416188,4453.757812423144,14523.783912529192,104.094,15.152,绝对门限延迟过多任务，尾段代价反弹。
4,one_per_edge,每条边最多服务1个,500,500,4389.889915013423,343.8807060136081,5046.538149110211,5185.473089744263,6262.876187330461,18477.509575067117,104.306,15.15,频繁回到保底环，破坏同区域批处理摊销。
5,full_proxy1000,完整服务代理门限1000m,500,500,3572.0805131804964,279.10091130518936,4008.827622087439,4103.1687170642945,4605.145078324887,14394.282565902482,104.248,15.186,静态出口代理高估当前代价，仍把任务推入尾段。
6,adaptive_clear_gain20,先服务再自适应覆盖,500,500,4771.726796108885,377.05326099940766,5571.99516084734,5787.350667055519,6945.91967268595,19598.27398054443,129.31,19.772,清除路线与保底路线分裂，移动距离大幅膨胀。
7,integrated_gain20,清除点融合覆盖,500,500,3375.139981075367,263.75745177194284,3766.850578529665,3840.582320204762,4303.709953842523,12944.949905376834,119.77,15.656,额外扫描未减少固定站，信息成本无法兑现。
8,integrated_immediate,立即成证才扫描,500,500,3284.890484028702,256.45944409882344,3684.142548389352,3782.3650395057703,4154.140530294289,12957.41242014351,104.164,15.36,零次触发；说明单个清除点不能直接替代最后一站。
9,joint_scale125,联合滚动有向弧,500,500,3211.3899771214974,250.85859419926635,3589.0197279256304,3711.25172912014,3943.449723701335,12589.299885607486,104.12,15.504,把保底站与目标服务统一规划，500场均值最优。
10,ordered_joint125,锁定环序的联合插入,500,500,3251.5828844397242,253.84562276519998,3629.783627893066,3764.8234493064133,4092.1021867012564,12791.234422198624,104.146,15.378,减小重排风险但损失有利跳转，均值次于第9轮。
