angle_deg,mean_diameter_m,conservative_mean_m
2.000000000000000000e+01,6.503299658475546607e+01,6.780949945068101670e+01
2.016250000000000142e+01,6.488497629031947156e+01,6.764585996697485371e+01
2.032499999999999929e+01,6.474103304231684319e+01,6.749056403163073981e+01
2.048750000000000071e+01,6.460106686633486106e+01,6.733570823390168414e+01
2.064999999999999858e+01,6.446500388054361963e+01,6.718920088671850976e+01
2.081250000000000000e+01,6.433272159759981434e+01,6.704264069009600746e+01
2.097500000000000142e+01,6.420418630704406837e+01,6.690445985960519693e+01
2.113749999999999929e+01,6.407926452115202665e+01,6.676627732351674638e+01
2.130000000000000071e+01,6.395792950324741355e+01,6.663457690849389792e+01
2.146249999999999858e+01,6.384005571129338819e+01,6.650562897548250874e+01
2.162500000000000000e+01,6.372560724742386640e+01,6.637984333322930297e+01
2.178750000000000142e+01,6.361449332877914031e+01,6.625982519923954328e+01
2.194999999999999929e+01,6.350664959040139479e+01,6.614055670838213530e+01
2.211250000000000071e+01,6.340201108305212330e+01,6.602868827611655433e+01
2.227499999999999858e+01,6.330049621045234431e+01,6.591640695531121708e+01
2.243750000000000000e+01,6.320207913287240586e+01,6.581117940782640119e+01
2.260000000000000142e+01,6.310664970000619434e+01,6.570579093940271775e+01
2.276249999999999929e+01,6.301418522233538511e+01,6.560491365300447342e+01
2.292500000000000071e+01,6.292460386300987807e+01,6.550802136482219851e+01
2.308749999999999858e+01,6.283786710702834455e+01,6.541208447216331479e+01
2.325000000000000000e+01,6.275392134739257699e+01,6.532294445992314991e+01
2.341250000000000142e+01,6.267268569604405570e+01,6.523307646660548187e+01
2.357499999999999929e+01,6.259415090879375043e+01,6.514941959962727935e+01
2.373750000000000071e+01,6.251822305261335799e+01,6.506582333995618228e+01
2.389999999999999858e+01,6.244488836523017028e+01,6.498523590223578594e+01
2.406250000000000000e+01,6.237407638190443038e+01,6.490984930144854559e+01
2.422500000000000142e+01,6.230575004042475484e+01,6.483424312783361643e+01
2.438749999999999929e+01,6.223988327932260489e+01,6.476494064064721101e+01
2.455000000000000071e+01,6.217638635721328910e+01,6.469464763343336244e+01
2.471249999999999858e+01,6.211526210990301422e+01,6.462803117837594868e+01
2.487500000000000000e+01,6.205644607221290698e+01,6.456528713217174698e+01
2.503750000000000142e+01,6.199990349360699327e+01,6.450269905818760208e+01
2.519999999999999929e+01,6.194560523255941575e+01,6.444607602763898058e+01
2.536250000000000071e+01,6.189348322617603060e+01,6.438835580328948538e+01
2.552499999999999858e+01,6.184354123742707543e+01,6.433339821742215747e+01
2.568750000000000000e+01,6.179571449369034752e+01,6.428349507469989987e+01
2.585000000000000142e+01,6.174997091948082328e+01,6.423273747296323677e+01
2.601249999999999929e+01,6.170630050106918674e+01,6.418666344687849801e+01
2.617500000000000071e+01,6.166463125287366864e+01,6.414155207788020618e+01
2.633749999999999858e+01,6.162495750418946727e+01,6.409754787847026591e+01
2.650000000000000000e+01,6.158725607040157968e+01,6.405912754907514284e+01
2.666250000000000142e+01,6.155146011135037298e+01,6.401938405836970958e+01
2.682499999999999929e+01,6.151757244044051731e+01,6.398176627578180131e+01
2.698750000000000071e+01,6.148555648519428019e+01,6.394947408753780849e+01
2.714999999999999858e+01,6.145536852079371926e+01,6.391594388838379359e+01
2.731250000000000000e+01,6.142700214700921890e+01,6.388519548317174213e+01
2.747500000000000142e+01,6.140041968781048354e+01,6.385818254280383144e+01
2.763749999999999929e+01,6.137558984395737127e+01,6.383052791093060563e+01
2.780000000000000071e+01,6.135250240722320569e+01,6.380606940996833032e+01
2.796249999999999858e+01,6.133111797060543324e+01,6.378418332268098112e+01
2.812500000000000000e+01,6.131141195739488126e+01,6.376219728393336794e+01
2.828750000000000142e+01,6.129337590168348981e+01,6.374332763698825488e+01
2.845000000000000284e+01,6.127697262132350176e+01,6.372697900313666253e+01
2.861250000000000071e+01,6.126217543634160734e+01,6.371037306029099057e+01
2.877499999999999858e+01,6.124898248440329240e+01,6.369643188182253368e+01
2.893750000000000000e+01,6.123735901859311070e+01,6.368564779431151379e+01
2.910000000000000142e+01,6.122726858244189430e+01,6.367425261468704889e+01
2.926250000000000284e+01,6.121872265090793519e+01,6.366452534343628145e+01
2.942500000000000071e+01,6.121168644999460184e+01,6.365975922041781843e+01
2.958749999999999858e+01,6.120612210211374560e+01,6.365331034627411100e+01
2.975000000000000000e+01,6.120204331726385760e+01,6.364852960453850272e+01
2.991250000000000142e+01,6.119941951376397071e+01,6.364845480285097068e+01
3.007500000000000284e+01,6.119820855016925520e+01,6.364687000476372702e+01
3.023750000000000071e+01,6.119842421293146373e+01,6.364680451415112117e+01
3.039999999999999858e+01,6.120003943491661147e+01,6.364946242005518684e+01
3.056250000000000000e+01,6.120303453708409336e+01,6.365452212826530598e+01
3.072500000000000142e+01,6.120738324932295882e+01,6.365898967223910176e+01
3.088750000000000284e+01,6.121308949407151090e+01,6.366499505945493809e+01
3.105000000000000071e+01,6.122013727064805266e+01,6.367526731972952803e+01
3.121249999999999858e+01,6.122847681608379844e+01,6.368448131156279146e+01
3.137500000000000000e+01,6.123813016173777868e+01,6.369480139709467892e+01
3.153750000000000142e+01,6.124906916753424468e+01,6.370655486756315611e+01
3.170000000000000284e+01,6.126128791033941212e+01,6.372292021784134164e+01
3.186250000000000071e+01,6.127474649905110482e+01,6.373741673357974946e+01
3.202499999999999858e+01,6.128945464135821908e+01,6.375330897319332735e+01
3.218750000000000000e+01,6.130540231224522074e+01,6.377059040006169255e+01
3.235000000000000142e+01,6.132256234634613890e+01,6.379232768313623581e+01
3.251250000000000284e+01,6.134091954491378829e+01,6.381225182329414025e+01
3.267499999999999716e+01,6.136046421971475695e+01,6.383347008925466071e+01
3.283749999999999858e+01,6.138120095372059382e+01,6.385602099742266091e+01
3.300000000000000000e+01,6.140310431003161540e+01,6.388293084958952761e+01
3.316250000000000142e+01,6.142614726886566956e+01,6.390805086458993145e+01
3.332500000000000284e+01,6.145033592003991885e+01,6.393440806079513550e+01
3.348749999999999716e+01,6.147566160500077359e+01,6.396198770238216014e+01
3.364999999999999858e+01,6.150211364578140660e+01,6.399232025737812535e+01
3.381250000000000000e+01,6.152966601476964570e+01,6.402407621717308928e+01
3.397500000000000142e+01,6.155831439551189987e+01,6.405531852485806610e+01
3.413750000000000284e+01,6.158805046480268430e+01,6.408776330901932283e+01
3.429999999999999716e+01,6.161887400318929053e+01,6.412139657674106274e+01
3.446249999999999858e+01,6.165076306538839646e+01,6.415842591721249732e+01
3.462500000000000000e+01,6.168370696228119243e+01,6.419544746469829022e+01
3.478750000000000142e+01,6.171768906948263123e+01,6.423256848015039111e+01
3.495000000000000284e+01,6.175272201290169960e+01,6.427086420694658386e+01
3.511249999999999716e+01,6.178877994308285082e+01,6.431030592544601632e+01
3.527499999999999858e+01,6.182586970216470235e+01,6.435241635722027809e+01
3.543750000000000000e+01,6.186395719276733018e+01,6.439570812149361245e+01
3.560000000000000142e+01,6.190304906910687777e+01,6.443850080892698884e+01
3.576250000000000284e+01,6.194313066862073924e+01,6.448236522227139744e+01
3.592499999999999716e+01,6.198420899510904292e+01,6.452733710847495274e+01
3.608750000000000568e+01,6.202626103213417252e+01,6.457339500687010059e+01
3.625000000000000000e+01,6.206929176201255416e+01,6.462286422215977666e+01
3.641250000000000142e+01,6.211326926865807252e+01,6.467187322042863684e+01
3.657500000000000284e+01,6.215820315286669029e+01,6.472112673286760298e+01
3.673749999999999716e+01,6.220408282751780860e+01,6.477139069003385430e+01
3.690000000000000568e+01,6.225090654127947687e+01,6.482271253102530295e+01
3.706250000000000000e+01,6.229866353546709234e+01,6.487508608533964605e+01
3.722500000000000142e+01,6.234734706462473497e+01,6.492971088141082703e+01
3.738750000000000284e+01,6.239694888706468134e+01,6.498603381744709395e+01
3.754999999999999716e+01,6.244744801019205482e+01,6.504144522726447519e+01
3.771250000000000568e+01,6.249885912646979591e+01,6.509783710224239428e+01
3.787500000000000000e+01,6.255116236100929683e+01,6.515521587534041714e+01
3.803750000000000142e+01,6.260436694837030558e+01,6.521359629365416311e+01
3.820000000000000284e+01,6.265844879059715566e+01,6.527296267009054986e+01
3.836249999999999716e+01,6.271341722267379737e+01,6.533366134418824345e+01
3.852500000000000568e+01,6.276925508191222747e+01,6.539707484361868239e+01
3.868750000000000000e+01,6.282595432134409918e+01,6.546008636928337410e+01
3.885000000000000142e+01,6.288351193137447126e+01,6.552328928274994269e+01
3.901250000000000284e+01,6.294192211052194352e+01,6.558742202852481284e+01
3.917499999999999716e+01,6.300118943588626053e+01,6.565251837773777766e+01
3.933750000000000568e+01,6.306129168808154617e+01,6.571854924001493714e+01
3.950000000000000000e+01,6.312224012825124930e+01,6.578548796983024260e+01
3.966250000000000142e+01,6.318401744147236343e+01,6.585336684845727007e+01
3.982500000000000284e+01,6.324662460646159445e+01,6.592260995362977383e+01
3.998749999999999716e+01,6.331005685349649070e+01,6.599404893952657858e+01
4.015000000000000568e+01,6.337429854333558410e+01,6.606581764346144325e+01
4.031250000000000000e+01,6.343935279677304351e+01,6.613731091668833528e+01
4.047500000000000142e+01,6.350520715032466512e+01,6.620973423648698031e+01
4.063750000000000284e+01,6.357186858773983573e+01,6.628306467337584706e+01
4.079999999999999716e+01,6.363932880719221430e+01,6.635724093933133361e+01
4.096250000000000568e+01,6.370757820938749205e+01,6.643231097389316631e+01
4.112500000000000000e+01,6.377662296666813546e+01,6.650826411174560349e+01
4.128750000000000142e+01,6.384644462789515984e+01,6.658510439453075946e+01
4.145000000000000284e+01,6.391704915615950711e+01,6.666276137552495129e+01
4.161249999999999716e+01,6.398843089729432876e+01,6.674130467574926229e+01
4.177500000000000568e+01,6.406057784072768868e+01,6.682072080687396465e+01
4.193750000000000000e+01,6.413349751213893057e+01,6.690202016154400155e+01
4.210000000000000142e+01,6.420717534574907859e+01,6.698423370893355866e+01
4.226250000000000284e+01,6.428161192802319590e+01,6.706722920232017771e+01
4.242499999999999716e+01,6.435680371200685101e+01,6.715021585105985480e+01
4.258750000000000568e+01,6.443273518158386537e+01,6.723385679535599024e+01
