seed,side_m,virtual_time_s,clear_ratio,completed,fallback_channels
5000,905.0,9360.494621815276,1.0,True,0
5001,905.0,9818.279862047573,1.0,True,0
5002,905.0,9756.788484604958,1.0,True,0
5003,905.0,10346.468043374542,1.0,True,0
5004,905.0,10127.785617827052,1.0,True,1
5005,905.0,10466.152785455313,1.0,True,0
5006,905.0,10359.868487352802,1.0,True,0
5007,905.0,10168.627695510151,1.0,True,0
5008,905.0,9960.388097800707,1.0,True,0
5009,905.0,9967.664998841587,1.0,True,0
5010,905.0,9822.917813415104,1.0,True,0
5011,905.0,9288.176003724204,1.0,True,1
5012,905.0,9924.24639929915,1.0,True,0
5013,905.0,9974.20642591505,1.0,True,0
5014,905.0,9766.084950033786,1.0,True,0
5015,905.0,10115.302805919491,1.0,True,0
5016,905.0,9878.399962685522,1.0,True,0
5017,905.0,9885.267855805136,1.0,True,0
5018,905.0,7170.467021839665,1.0,True,0
5019,905.0,9696.891885400775,1.0,True,0
5020,905.0,9928.880277946535,1.0,True,0
5021,905.0,10129.49554925939,1.0,True,0
5022,905.0,10655.760308351973,1.0,True,0
5023,905.0,9469.40677754524,1.0,True,0
5024,905.0,10232.895307275303,1.0,True,1
5025,905.0,7116.804319468558,1.0,True,0
5026,905.0,10318.084088216467,1.0,True,0
5027,905.0,10485.263204282885,1.0,True,0
5028,905.0,10078.069946109252,1.0,True,0
5029,905.0,9471.078794049952,1.0,True,0
5030,905.0,10085.082220891645,1.0,True,0
5031,905.0,10048.049271901831,1.0,True,0
5032,905.0,6827.567545651261,1.0,True,0
5033,905.0,9895.375779488868,1.0,True,0
5034,905.0,10561.65746545824,1.0,True,0
5035,905.0,10186.907689763322,1.0,True,0
5036,905.0,9475.522796383195,1.0,True,0
5037,905.0,9968.18262248737,1.0,True,0
5038,905.0,10119.785586742792,1.0,True,0
5039,905.0,6620.45721114201,1.0,True,0
5040,905.0,9998.268754724633,1.0,True,0
5041,905.0,10313.66101143046,1.0,True,0
5042,905.0,9909.20304317556,1.0,True,0
5043,905.0,9490.700248230218,1.0,True,0
5044,905.0,9920.058255443753,1.0,True,0
5045,905.0,9651.329242671069,1.0,True,0
5046,905.0,6511.11236769036,1.0,True,0
5047,905.0,10147.291363747438,1.0,True,0
5048,905.0,10198.365613163493,1.0,True,0
5049,905.0,9982.32022355028,1.0,True,0
5050,905.0,10653.866385615569,1.0,True,0
5051,905.0,10066.544168901124,1.0,True,0
5052,905.0,10245.104344830277,1.0,True,0
5053,905.0,7468.608573536948,1.0,True,1
5054,905.0,10205.890708009221,1.0,True,0
5055,905.0,9948.553411809517,1.0,True,0
5056,905.0,10032.003809287746,1.0,True,0
5057,905.0,10229.735418047949,1.0,True,0
5058,905.0,10094.401902001897,1.0,True,0
5059,905.0,9408.988948306769,1.0,True,0
5060,905.0,8635.89204105463,1.0,True,0
5061,905.0,10245.1891338403,1.0,True,0
5062,905.0,9661.280899920253,1.0,True,0
5063,905.0,9951.568324224614,1.0,True,0
5064,905.0,9968.118352365398,1.0,True,0
5065,905.0,10272.468716374327,1.0,True,0
5066,905.0,10275.772285055484,1.0,True,0
5067,905.0,9335.307478319693,1.0,True,1
5068,905.0,10473.008095679314,1.0,True,0
5069,905.0,10370.633818063241,1.0,True,0
5070,905.0,10499.721990962747,1.0,True,0
5071,905.0,9662.220331834438,1.0,True,0
5072,905.0,9620.996521321185,1.0,True,0
5073,905.0,9868.089322523136,1.0,True,0
5074,905.0,6997.054923386326,1.0,True,1
5075,905.0,9864.636983127606,1.0,True,0
5076,905.0,9695.421692345151,1.0,True,0
5077,905.0,10085.097037374471,1.0,True,1
5078,905.0,9527.38373625357,1.0,True,0
5079,905.0,9812.828479387921,1.0,True,0
5080,905.0,10953.790044746347,1.0,True,1
5081,905.0,8572.31323395967,1.0,True,0
5082,905.0,10289.2308981957,1.0,True,0
5083,905.0,10048.83349153227,1.0,True,0
5084,905.0,10128.961282673741,1.0,True,0
5085,905.0,10081.158666172372,1.0,True,0
5086,905.0,9949.501386807911,1.0,True,0
5087,905.0,10302.289799728036,1.0,True,0
5088,905.0,6863.26904400315,1.0,True,0
5089,905.0,10147.004432483782,1.0,True,0
5090,905.0,10192.51328811747,1.0,True,0
5091,905.0,10141.613453729145,1.0,True,0
5092,905.0,9912.099014121894,1.0,True,0
5093,905.0,10030.410419762771,1.0,True,0
5094,905.0,9882.602324727393,1.0,True,0
5095,905.0,9119.516215066302,1.0,True,0
5096,905.0,10511.869266713878,1.0,True,0
5097,905.0,9882.23977016403,1.0,True,0
5098,905.0,9801.636927798529,1.0,True,0
5099,905.0,9602.301143279787,1.0,True,0
5000,920.0,9203.675959804972,1.0,True,0
5001,920.0,10061.035154761921,1.0,True,0
5002,920.0,9896.66932418502,1.0,True,0
5003,920.0,10345.745471431184,1.0,True,0
5004,920.0,8317.366946789103,1.0,True,1
5005,920.0,10136.303862868626,1.0,True,0
5006,920.0,9860.161669712728,1.0,True,0
5007,920.0,9933.401091317912,1.0,True,0
5008,920.0,9729.315960277589,1.0,True,0
5009,920.0,9871.002159464286,1.0,True,0
5010,920.0,10084.125864469383,1.0,True,0
5011,920.0,8956.374228425431,1.0,True,0
5012,920.0,9752.667719040488,1.0,True,0
5013,920.0,10234.438517174674,1.0,True,0
5014,920.0,9880.103265812524,1.0,True,0
5015,920.0,10066.43192703261,1.0,True,0
5016,920.0,10482.616928626721,1.0,True,0
5017,920.0,10486.446392836724,1.0,True,0
5018,920.0,7868.982541526462,1.0,True,1
5019,920.0,9591.587413779833,1.0,True,0
5020,920.0,10203.847777092855,1.0,True,0
5021,920.0,10094.78042046116,1.0,True,0
5022,920.0,10688.624085666113,1.0,True,0
5023,920.0,9202.356879672541,1.0,True,0
5024,920.0,10426.621294924991,1.0,True,1
5025,920.0,6908.3510763410195,1.0,True,0
5026,920.0,10285.874090541802,1.0,True,0
5027,920.0,10011.367294390633,1.0,True,0
5028,920.0,9470.005855841597,1.0,True,0
5029,920.0,9308.413350636009,1.0,True,0
5030,920.0,10058.10753434266,1.0,True,0
5031,920.0,9876.393433038938,1.0,True,0
5032,920.0,7468.196756306827,1.0,True,1
5033,920.0,10093.258536576177,1.0,True,0
5034,920.0,10133.435776802866,1.0,True,0
5035,920.0,9873.80061358412,1.0,True,0
5036,920.0,9864.231096432777,1.0,True,0
5037,920.0,10562.043762864652,1.0,True,0
5038,920.0,10664.342870903653,1.0,True,0
5039,920.0,9119.95760001841,1.0,True,0
5040,920.0,9838.27262205331,1.0,True,0
5041,920.0,9977.885995144052,1.0,True,0
5042,920.0,9695.436606976624,1.0,True,0
5043,920.0,9668.047711607991,1.0,True,0
5044,920.0,9662.23654602307,1.0,True,0
5045,920.0,10120.998366856214,1.0,True,0
5046,920.0,7722.649485434649,1.0,True,0
5047,920.0,9898.026782219053,1.0,True,0
5048,920.0,10109.469582432941,1.0,True,0
5049,920.0,10064.419750757526,1.0,True,0
5050,920.0,10247.196850947843,1.0,True,0
5051,920.0,9987.25729941864,1.0,True,0
5052,920.0,10004.175051101287,1.0,True,0
5053,920.0,9050.559823921825,1.0,True,0
5054,920.0,10337.716497128065,1.0,True,0
5055,920.0,10554.874438208182,1.0,True,0
5056,920.0,9510.854588054004,1.0,True,0
5057,920.0,9938.747742059022,1.0,True,0
5058,920.0,10159.558633302824,1.0,True,0
5059,920.0,9582.927387449603,1.0,True,0
5060,920.0,9070.48424543703,1.0,True,0
5061,920.0,10814.895477114453,1.0,True,0
5062,920.0,9731.608272092151,1.0,True,0
5063,920.0,9921.104363626087,1.0,True,0
5064,920.0,10024.120160828144,1.0,True,0
5065,920.0,10392.82285153071,1.0,True,0
5066,920.0,10235.596061210046,1.0,True,0
5067,920.0,8197.944813940498,1.0,True,1
5068,920.0,10280.744933099862,1.0,True,0
5069,920.0,9931.023323525982,1.0,True,0
5070,920.0,10496.090665239246,1.0,True,0
5071,920.0,10055.41125606291,1.0,True,0
5072,920.0,9845.410468061847,1.0,True,0
5073,920.0,9969.67383321024,1.0,True,0
5074,920.0,7538.832074385283,1.0,True,1
5075,920.0,10179.585912470522,1.0,True,0
5076,920.0,9654.688743490216,1.0,True,0
5077,920.0,10563.11998022544,1.0,True,1
5078,920.0,9802.93645981887,1.0,True,0
5079,920.0,10011.036883318086,1.0,True,0
5080,920.0,10948.201698032392,1.0,True,1
5081,920.0,8141.296298018829,1.0,True,2
5082,920.0,9851.381964855413,1.0,True,0
5083,920.0,10168.456843429765,1.0,True,0
5084,920.0,10275.160745488873,1.0,True,0
5085,920.0,10008.923305719174,1.0,True,0
5086,920.0,10029.421008839987,1.0,True,0
5087,920.0,10104.723964223707,1.0,True,0
5088,920.0,8674.353551772827,1.0,True,0
5089,920.0,10208.759690392208,1.0,True,0
5090,920.0,10178.757941504067,1.0,True,0
5091,920.0,10142.885717923162,1.0,True,0
5092,920.0,10195.727144749564,1.0,True,0
5093,920.0,9838.018179771314,1.0,True,0
5094,920.0,9750.072206990042,1.0,True,0
5095,920.0,7351.232925581779,1.0,True,0
5096,920.0,10031.796951935632,1.0,True,0
5097,920.0,9513.941222732816,1.0,True,0
5098,920.0,9878.138314437087,1.0,True,0
5099,920.0,9696.965628000251,1.0,True,0
5000,950.0,9615.24245092489,1.0,True,0
5001,950.0,10485.809258997122,1.0,True,1
5002,950.0,9972.348278794412,1.0,True,0
5003,950.0,10320.321502403902,1.0,True,0
5004,950.0,9127.025741303483,1.0,True,0
5005,950.0,10235.277963785835,1.0,True,0
5006,950.0,10410.826070868678,1.0,True,0
5007,950.0,10585.725049731556,1.0,True,0
5008,950.0,9979.645888467043,1.0,True,0
5009,950.0,9715.638882895526,1.0,True,0
5010,950.0,9914.615107632982,1.0,True,0
5011,950.0,9504.952561526456,1.0,True,1
5012,950.0,10201.576672777937,1.0,True,0
5013,950.0,10066.358369907059,1.0,True,0
5014,950.0,9728.91416366474,1.0,True,0
5015,950.0,10357.997095580717,1.0,True,0
5016,950.0,10522.235070753119,1.0,True,0
5017,950.0,10133.659083197928,1.0,True,0
5018,950.0,9136.417969824084,1.0,True,2
5019,950.0,9762.598385796871,1.0,True,0
5020,950.0,10000.708494408183,1.0,True,0
5021,950.0,10467.674640412768,1.0,True,0
5022,950.0,10489.407051930793,1.0,True,0
5023,950.0,9841.73661363538,1.0,True,0
5024,950.0,10266.542965346767,1.0,True,1
5025,950.0,6808.797559560604,1.0,True,0
5026,950.0,10644.702676100249,1.0,True,0
5027,950.0,10393.59642420821,1.0,True,0
5028,950.0,10117.391074563333,1.0,True,1
5029,950.0,9742.184244237576,1.0,True,0
5030,950.0,10013.79106242057,1.0,True,0
5031,950.0,10617.262201572195,1.0,True,0
5032,950.0,7655.360298592049,1.0,True,0
5033,950.0,10182.793007070864,1.0,True,0
5034,950.0,10720.715478890947,1.0,True,0
5035,950.0,10421.826750241853,1.0,True,0
5036,950.0,9675.264568742941,1.0,True,0
5037,950.0,10182.386920128605,1.0,True,0
5038,950.0,10482.832028620009,1.0,True,0
5039,950.0,6743.877951417536,1.0,True,0
5040,950.0,10083.124999705818,1.0,True,0
5041,950.0,10226.035128133019,1.0,True,0
5042,950.0,10213.290909303018,1.0,True,0
5043,950.0,9878.422255575746,1.0,True,0
5044,950.0,10225.191119078609,1.0,True,0
5045,950.0,9636.420199754582,1.0,True,0
5046,950.0,7361.590211328965,1.0,True,0
5047,950.0,10376.04761697795,1.0,True,0
5048,950.0,10106.427894034125,1.0,True,0
5049,950.0,10293.89231496728,1.0,True,0
5050,950.0,10610.814286084782,1.0,True,0
5051,950.0,10151.29252258959,1.0,True,0
5052,950.0,10406.36943558334,1.0,True,0
5053,950.0,6561.820278919287,1.0,True,0
5054,950.0,10413.155810335114,1.0,True,0
5055,950.0,10064.968245947584,1.0,True,0
5056,950.0,10107.481541960813,1.0,True,0
5057,950.0,10405.8487746933,1.0,True,0
5058,950.0,10339.731797761553,1.0,True,0
5059,950.0,9740.712067870647,1.0,True,1
5060,950.0,8690.690639203754,1.0,True,1
5061,950.0,10124.108649790145,1.0,True,0
5062,950.0,9669.221076969689,1.0,True,0
5063,950.0,10075.327036638724,1.0,True,0
5064,950.0,9950.346070117987,1.0,True,0
5065,950.0,10678.554504048714,1.0,True,0
5066,950.0,10395.489058734114,1.0,True,0
5067,950.0,10379.872789268777,1.0,True,3
5068,950.0,10815.143950992873,1.0,True,1
5069,950.0,10521.913737026247,1.0,True,0
5070,950.0,10388.429372155479,1.0,True,0
5071,950.0,9678.846243595404,1.0,True,0
5072,950.0,10136.479113784626,1.0,True,0
5073,950.0,10046.182072798916,1.0,True,0
5074,950.0,7404.526119840121,1.0,True,2
5075,950.0,10180.783821799267,1.0,True,0
5076,950.0,9953.09800297291,1.0,True,0
5077,950.0,10320.800121964927,1.0,True,0
5078,950.0,9731.17571184883,1.0,True,0
5079,950.0,9872.35579153303,1.0,True,0
5080,950.0,11015.431086131339,1.0,True,1
5081,950.0,9679.703806386666,1.0,True,1
5082,950.0,10555.886441137593,1.0,True,0
5083,950.0,10235.286028936505,1.0,True,0
5084,950.0,10350.216184752948,1.0,True,0
5085,950.0,10179.368462707409,1.0,True,0
5086,950.0,10170.772134934667,1.0,True,0
5087,950.0,10430.316241913004,1.0,True,0
5088,950.0,7203.674976415177,1.0,True,0
5089,950.0,10341.638066706992,1.0,True,0
5090,950.0,10385.511601510578,1.0,True,0
5091,950.0,10236.265535104705,1.0,True,0
5092,950.0,10097.305718248657,1.0,True,0
5093,950.0,10100.21872543009,1.0,True,0
5094,950.0,10380.399814959901,1.0,True,1
5095,950.0,9688.001946996665,1.0,True,1
5096,950.0,10471.87049285125,1.0,True,0
5097,950.0,9970.356571664903,1.0,True,0
5098,950.0,9924.050981610946,1.0,True,0
5099,950.0,9819.14278042048,1.0,True,0
5000,990.0,9603.65409502684,1.0,True,0
5001,990.0,10912.83886016213,1.0,True,1
5002,990.0,10274.146627420152,1.0,True,0
5003,990.0,10472.418104312464,1.0,True,0
5004,990.0,9911.826841107213,1.0,True,0
5005,990.0,10486.714678110171,1.0,True,0
5006,990.0,10467.890042781106,1.0,True,0
5007,990.0,10862.18302121769,1.0,True,1
5008,990.0,10231.78745413192,1.0,True,0
5009,990.0,9907.251724665535,1.0,True,0
5010,990.0,10458.062192622274,1.0,True,1
5011,990.0,9773.61097761503,1.0,True,1
5012,990.0,10196.077905938717,1.0,True,0
5013,990.0,10282.18820125414,1.0,True,0
5014,990.0,9892.947100812054,1.0,True,0
5015,990.0,10384.906847281072,1.0,True,0
5016,990.0,10418.820584988096,1.0,True,0
5017,990.0,10181.30385978765,1.0,True,0
5018,990.0,9434.990194645334,1.0,True,2
5019,990.0,9986.20387439359,1.0,True,0
5020,990.0,10103.889794131519,1.0,True,0
5021,990.0,10460.766078338009,1.0,True,0
5022,990.0,10784.993760183523,1.0,True,0
5023,990.0,9917.238414081938,1.0,True,0
5024,990.0,11054.993903527171,1.0,True,1
5025,990.0,8426.441943670572,1.0,True,0
5026,990.0,10688.325193498005,1.0,True,0
5027,990.0,10602.514939067483,1.0,True,1
5028,990.0,10115.0717659027,1.0,True,0
5029,990.0,9549.996119796082,1.0,True,0
5030,990.0,10234.289802561696,1.0,True,0
5031,990.0,10543.48703153326,1.0,True,0
5032,990.0,8117.17871397999,1.0,True,0
5033,990.0,10102.93607371934,1.0,True,0
5034,990.0,10758.986813099833,1.0,True,0
5035,990.0,10566.672540235913,1.0,True,0
5036,990.0,10510.088401750594,1.0,True,2
5037,990.0,10474.988044612443,1.0,True,0
5038,990.0,10637.13696013221,1.0,True,0
5039,990.0,6326.731944928891,1.0,True,0
5040,990.0,10214.61168525886,1.0,True,0
5041,990.0,10353.863788310982,1.0,True,0
5042,990.0,10133.866391797606,1.0,True,0
5043,990.0,9910.495273811293,1.0,True,0
5044,990.0,10393.064232982479,1.0,True,0
5045,990.0,9988.038282081146,1.0,True,0
5046,990.0,7498.641011389366,1.0,True,0
5047,990.0,11171.975547659591,1.0,True,1
5048,990.0,10328.787550575751,1.0,True,0
5049,990.0,10471.096308724882,1.0,True,0
5050,990.0,11249.837226576536,1.0,True,1
5051,990.0,10449.704286043363,1.0,True,0
5052,990.0,10477.97614396797,1.0,True,1
5053,990.0,8540.731634182834,1.0,True,1
5054,990.0,10571.39124016795,1.0,True,0
5055,990.0,10358.173546891072,1.0,True,0
5056,990.0,10254.684769152087,1.0,True,0
5057,990.0,10669.293397536178,1.0,True,0
5058,990.0,10523.018166428532,1.0,True,0
5059,990.0,9715.551621147735,1.0,True,0
5060,990.0,8843.060315920515,1.0,True,0
5061,990.0,10410.66997939812,1.0,True,0
5062,990.0,9644.249719817317,1.0,True,0
5063,990.0,10390.846583076867,1.0,True,0
5064,990.0,10325.996778161665,1.0,True,1
5065,990.0,10838.046664708367,1.0,True,0
5066,990.0,10515.356415010108,1.0,True,1
5067,990.0,10898.430358228645,1.0,True,2
5068,990.0,10951.34962697873,1.0,True,1
5069,990.0,10572.18115196691,1.0,True,0
5070,990.0,10682.604479266176,1.0,True,1
5071,990.0,9984.681331345355,1.0,True,0
5072,990.0,10207.880196027578,1.0,True,0
5073,990.0,10116.374944657498,1.0,True,0
5074,990.0,8813.353480554924,1.0,True,2
5075,990.0,10419.478034853573,1.0,True,0
5076,990.0,9997.304486239715,1.0,True,0
5077,990.0,10504.277800423035,1.0,True,0
5078,990.0,9889.458844417231,1.0,True,0
5079,990.0,10192.69707967593,1.0,True,0
5080,990.0,11395.842243922925,1.0,True,1
5081,990.0,9527.206427331621,1.0,True,2
5082,990.0,10700.744141338831,1.0,True,0
5083,990.0,10468.602205034034,1.0,True,0
5084,990.0,10514.762824048765,1.0,True,0
5085,990.0,10219.137096122258,1.0,True,0
5086,990.0,10276.730752731564,1.0,True,0
5087,990.0,10570.975141302057,1.0,True,0
5088,990.0,8474.14727961238,1.0,True,0
5089,990.0,10469.891697202858,1.0,True,0
5090,990.0,10672.21470612912,1.0,True,1
5091,990.0,10550.430572361598,1.0,True,0
5092,990.0,10430.011642032136,1.0,True,0
5093,990.0,10091.582229240994,1.0,True,0
5094,990.0,11103.513240839213,1.0,True,3
5095,990.0,9522.485056812366,1.0,True,0
5096,990.0,10611.646431363106,1.0,True,0
5097,990.0,10202.589604377266,1.0,True,0
5098,990.0,10038.106771933852,1.0,True,0
5099,990.0,9782.843969373189,1.0,True,0
