case_id,seed,mode,error_mode,variant,completed,stop_reason,grid,active,side,stations_total,stations_visited,discovered_channels,cleared_channels,discovery_certificate,virtual_time_s,runtime_s,fallback_channels,no_signal_localization,safe_clears,optimistic_clears,active_queries,fallback_attempts,source_count,directional_count,cleared,clear_ratio,time_per_source_s,distance_m,measures,switches,clear_failures
SELF-Q4-edge_outward-plus_one-10000,10000,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,905.0,31,31,"[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 19]","[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 19]",count_upper_bound,12413.151364550993,0.016363708000000088,5,41,11,4,22,151,16,15,16,1.0,775.8219602844371,46415.75682275501,437,415,150
SELF-Q4-edge_outward-plus_one-10001,10001,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,905.0,31,30,"[1, 2, 3, 4, 5, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20]","[1, 2, 3, 4, 5, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20]",count_upper_bound,12710.480146890988,0.018520875000000103,7,56,9,2,23,236,16,15,16,1.0,794.4050091806868,46597.40073445495,440,418,231
SELF-Q4-edge_outward-plus_one-10002,10002,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,905.0,31,30,"[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19]","[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 16, 18, 19]",count_upper_bound,12829.069755421697,0.018754708999999536,6,56,10,1,19,268,16,15,16,1.0,801.816859713856,46470.34877710853,448,426,263
SELF-Q4-edge_outward-plus_one-10003,10003,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,905.0,31,31,"[1, 2, 3, 5, 6, 7, 8, 9, 13, 14, 15, 16, 17, 18, 19, 20]","[1, 2, 3, 5, 6, 7, 8, 9, 13, 14, 15, 16, 17, 18, 19, 20]",count_upper_bound,14336.878609156693,0.02242866699999979,9,54,7,1,28,316,16,15,16,1.0,896.0549130722933,51079.393045783494,525,492,308
SELF-Q4-edge_outward-plus_one-10004,10004,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,905.0,31,26,"[1, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20]","[1, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20]",count_upper_bound,12325.293254070279,0.02142058300000116,10,61,5,2,31,303,16,15,16,1.0,770.3308283793924,43771.466270351404,440,409,294
SELF-Q4-edge_outward-plus_one-10005,10005,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,905.0,31,31,"[1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19]","[1, 2, 3, 4, 6, 7, 8, 9, 10, 12, 14, 15, 16, 17, 18, 19]",count_upper_bound,13159.870335149113,0.020259124999995493,7,69,9,1,22,290,16,15,16,1.0,822.4918959468196,47744.35167574559,450,429,284
SELF-Q4-edge_outward-plus_one-10006,10006,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,905.0,31,30,"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20]","[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 19, 20]",count_upper_bound,13495.084661816722,0.02064695800000038,7,45,9,3,24,273,16,15,16,1.0,843.4427913635451,48590.42330908363,486,460,269
SELF-Q4-edge_outward-plus_one-10007,10007,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,905.0,31,31,"[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 20]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 15, 16, 17, 18, 20]",count_upper_bound,15444.437180890294,0.025799374999998292,9,64,7,2,30,447,16,15,16,1.0,965.2773238056434,55167.18590445152,506,481,440
SELF-Q4-edge_outward-plus_one-10008,10008,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,905.0,31,31,"[1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20]","[1, 2, 3, 5, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 20]",count_upper_bound,13987.40870755036,0.02126637500000328,8,62,8,1,26,303,16,15,16,1.0,874.2130442218975,51207.04353775182,468,438,296
SELF-Q4-edge_outward-plus_one-10009,10009,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,905.0,31,30,"[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20]","[1, 2, 3, 4, 5, 7, 8, 10, 11, 12, 13, 14, 15, 17, 19, 20]",count_upper_bound,12803.020193824332,0.01948204199999992,7,42,9,2,25,240,16,15,16,1.0,800.1887621140207,45890.1009691217,478,450,235
SELF-Q4-edge_outward-plus_one-10010,10010,edge_outward,plus_one,triangle_active,True,all_sources_cleared_with_certificate,triangle,True,905.0,31,29,"[1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20]","[1, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20]",count_upper_bound,13295.004458356261,0.022344250000003285,8,62,8,2,28,356,16,15,16,1.0,830.9377786472663,47965.022291781315,433,407,350
