variant,seed,mode,length_scale_m,source_count,completed,time_per_source_s,virtual_time_s,distance_m,measures,switches,clear_failures,fallback_attempts,stations_visited,runtime_s,mean_first_discovery_s,last_first_discovery_s,containment_violations,nearby_effective_bearings
fifth,1012000,mixed,100.0,13,True,467.8542731656728,6082.105551153746,23215.527755768726,231,219,0,0,21,0.12618900000234134,902.5135868461539,4888.761464,0,0
fifth,1012000,mixed,300.0,13,True,468.69388097444664,6093.020452667806,23240.102263339028,232,220,0,0,21,0.12285980000160635,903.5466463076923,4898.433829,0,0
fifth,1012000,mixed,900.0,13,True,475.43796510989404,6180.6935464286225,23773.467732143108,229,216,0,0,21,0.12267849999989267,878.4210669230769,4464.894393,0,0
fifth,1012001,mixed,100.0,14,True,431.47954267738214,6040.71359748335,23683.56798741675,208,191,1,0,21,0.11520970000128727,861.6356814999999,3526.490168,0,0
fifth,1012001,mixed,300.0,14,True,431.28451432108784,6037.9832004952295,23669.916002476155,208,191,1,0,21,0.11696540000048117,862.4675411428572,3527.163343,0,0
fifth,1012001,mixed,900.0,14,True,431.0451037413086,6034.63145237832,23683.157261891603,207,190,1,0,21,0.11411070000031032,861.6180715714286,3522.233939,0,0
fifth,1012002,mixed,100.0,15,True,364.1289637036049,5461.934455554073,21174.67227777037,193,184,1,0,21,0.14308080000046175,802.451311,2048.179674,0,0
fifth,1012002,mixed,300.0,15,True,364.8875964667811,5473.313947001716,21191.56973500859,195,185,0,0,21,0.14103229999818723,802.6862772666667,2039.763814,0,0
fifth,1012002,mixed,900.0,15,True,365.1230990710672,5476.846486066008,21194.232430330034,195,185,1,0,21,0.13774059999923338,800.2135995333333,2034.900726,0,0
fifth,1012003,mixed,100.0,16,True,330.18280734736317,5282.924917557811,20729.624587789054,179,162,0,0,20,0.14064099999814061,813.100683625,5057.562917,0,0
fifth,1012003,mixed,300.0,16,True,340.2056292798878,5443.290068478204,21301.450342391025,186,173,0,0,20,0.13325999999869964,979.0582938125,5218.236117,0,0
fifth,1012003,mixed,900.0,16,True,337.51992783995695,5400.318845439311,21171.59422719656,183,171,0,0,20,0.13101580000147806,974.2458883125,5175.62865,0,0
fifth,1012004,mixed,100.0,10,True,603.5388732811383,6035.388732811383,21191.94366405692,293,282,0,0,21,0.08336959999724058,1544.2407822,4671.45039,0,0
fifth,1012004,mixed,300.0,10,True,602.7417664326425,6027.417664326425,21152.088321632134,293,282,0,0,21,0.08100149999881978,1543.4865735,4665.278403,0,0
fifth,1012004,mixed,900.0,10,True,603.1618917213839,6031.618917213838,21173.094586069183,293,282,0,0,21,0.08240920000025653,1543.0631540000002,4668.508883,0,0
fifth,1012005,mixed,100.0,11,True,492.22833408902056,5414.511674979226,19822.558374896144,235,220,0,0,21,0.10383870000077877,380.4222011818182,2024.644213,0,0
fifth,1012005,mixed,300.0,11,True,492.1810090376837,5413.99109941452,19819.955497072617,235,220,0,0,21,0.10542659999919124,380.4135828181818,2024.549411,0,0
fifth,1012005,mixed,900.0,11,True,492.16435674625717,5413.807924208829,19819.039621044147,235,220,0,0,21,0.10486049999963143,380.45007636363636,2024.95084,0,0
fifth,1012006,mixed,100.0,12,True,457.0246226806393,5484.2954721676715,20346.47736083837,228,215,0,0,21,0.10086360000059358,642.5957610833334,2120.661793,0,0
fifth,1012006,mixed,300.0,12,True,456.1072760094335,5473.2873121132025,20341.436560566013,226,215,0,0,21,0.09863880000193603,638.12384225,2109.261704,0,0
fifth,1012006,mixed,900.0,12,True,458.18798473062037,5498.255816767444,20461.279083837224,226,216,0,0,21,0.10065930000200751,636.6581765,2135.736221,0,0
fifth,1012007,mixed,100.0,13,True,469.1938743752599,6099.520366878379,22537.6018343919,256,247,0,0,21,0.10927660000015749,1569.8001752307691,5722.855476,0,0
fifth,1012007,mixed,300.0,13,True,469.0280192494954,6097.36425024344,22526.821251217225,256,247,0,0,21,0.1075118000007933,1569.637207,5721.761062,0,0
fifth,1012007,mixed,900.0,13,True,469.4549060438762,6102.913778570391,22524.56889285196,257,248,0,0,21,0.10977179999827058,1571.0329376923078,5731.409112,0,0
fifth,1012008,mixed,100.0,14,True,399.91738952709784,5598.84345337937,20974.217266896856,224,214,0,0,21,0.13423880000118515,842.6474805,2624.402226,0,0
fifth,1012008,mixed,300.0,14,True,400.30110401392795,5604.215456194991,21001.07728097495,224,214,0,0,21,0.1349629000033019,842.742397,2630.13586,0,0
fifth,1012008,mixed,900.0,14,True,398.6568742569786,5581.196239597701,20975.98119798851,221,211,0,0,21,0.1315476999989187,874.4571256428571,2736.333707,0,0
fifth,1012009,mixed,100.0,15,True,380.28382519244406,5704.257377886661,21156.286889433304,234,225,1,0,21,0.1244877000026463,1492.2216763333333,5364.522208,0,0
fifth,1012009,mixed,300.0,15,True,379.41562396809735,5691.234359521461,21126.171797607312,233,223,1,0,21,0.12461950000215438,1491.8297114666666,5352.72537,0,0
fifth,1012009,mixed,900.0,15,True,378.53039015228495,5677.955852284274,21129.77926142137,231,222,0,0,21,0.12434149999899091,1486.7485249333333,5333.69371,0,0
fifth,1012010,mixed,100.0,16,True,426.568602490643,6825.097639850288,26525.488199251435,241,232,1,0,20,0.13307060000079218,1994.9051531875,6116.654192,0,0
fifth,1012010,mixed,300.0,16,True,426.431214817268,6822.899437076288,26514.49718538144,241,232,1,0,20,0.13254389999929117,1994.4762054375,6113.137004,0,0
fifth,1012010,mixed,900.0,16,True,426.65459532347387,6826.473525175582,26532.367625877916,241,232,1,0,20,0.13260010000158218,1994.943753375,6116.860623,0,0
fifth,1012011,mixed,100.0,10,True,601.0840940899243,6010.840940899243,21539.204704496227,277,265,1,0,21,0.09318469999925583,1015.9946709999999,5284.011524,0,0
fifth,1012011,mixed,300.0,10,True,597.0959761194921,5970.959761194921,21379.798805974613,276,265,0,0,21,0.09912899999835645,1012.8819080000001,5245.904598,0,0
fifth,1012011,mixed,900.0,10,True,599.3084899607663,5993.084899607663,21635.42449803832,271,261,0,0,21,0.09261500000138767,819.5879671,3320.866304,0,0
fifth,1012012,mixed,100.0,11,True,582.8066418743659,6410.873060618025,23899.36530309012,264,253,1,0,21,0.10098959999959334,1103.015501,3497.562267,0,0
fifth,1012012,mixed,300.0,11,True,584.021512652094,6424.236639173034,23966.183195865164,264,253,1,0,21,0.10107380000044941,1102.9938133636363,3497.891848,0,0
