variant,mode,cases,layouts,mean_seconds_per_source,median,p90,maximum,cases_at_most_400,mean_distance_m,mean_measures,fallback_cases,mean_program_seconds
fifth,edge_inset,6,2,533.7701423901451,530.6063718244059,573.1125419507914,577.4849844222875,0,31686.611391211616,341,4,0.1835262333333958
fifth,edge_outward,9,3,476.1154979285981,470.99686696959793,529.1965332281327,538.415622361086,0,27287.017612065632,346,2,0.09250513333326024
fifth,minimum_range,6,2,448.78519333832713,448.90441810807306,467.12077897797855,467.14467507316334,0,20782.651307239077,231.83333333333334,0,0.10730335000031725
fifth,mixed,42,14,461.82075099296827,454.8053165946801,597.0959761194921,603.5388732811383,11,21949.941051602575,235.33333333333334,0,0.11494033571450148
fifth,rotated_cluster,6,2,553.6104493361919,552.1568806601864,572.266287468718,582.0489291996319,0,18865.522466809605,270,0,0.08415965000009844
eighth,edge_inset,6,2,525.3387079825968,524.9396716535457,573.1125419507914,612.8786499240015,0,30487.929971941085,357,4,0.33519695000056043
eighth,edge_outward,9,3,488.9523435912413,475.8619625551967,522.5286898261108,526.5881261955636,0,28193.409709521533,350.3333333333333,7,0.20872776666712728
eighth,minimum_range,6,2,476.0902452026566,467.95094389548353,518.9011109415763,519.5110272357441,0,22328.556295299844,235.83333333333334,0,0.3431259666661693
eighth,mixed,42,14,464.40830675262845,454.602838254905,605.9524915198294,647.532223077256,12,22087.35431983541,230.04761904761904,2,0.34136724523843787
eighth,rotated_cluster,6,2,547.0275173839802,544.0728849474368,565.047278895757,565.9383374848222,0,18597.209202532355,268.6666666666667,0,0.21166866666620385
boundary,edge_inset,6,2,473.36104640222044,471.1874259501358,491.31255693583387,491.55895639672286,0,27430.550378844302,330.5,0,0.25629008333453385
boundary,edge_outward,9,3,428.9088410409965,420.3124360593027,448.3363576210113,453.70481136777744,0,23949.373949946388,331.1111111111111,0,0.23934332222213722
boundary,minimum_range,6,2,448.78518166662343,448.904389898123,467.12077897797855,467.14467507316334,0,20782.65054857834,231.83333333333334,0,0.170690633334137
boundary,mixed,42,14,452.1717926641199,453.46083189405323,597.0945493405825,603.5354581083731,9,21395.99392564219,228.21428571428572,0,0.19405878571437607
boundary,rotated_cluster,6,2,553.6104493361919,552.1568806601864,572.266287468718,582.0489291996319,0,18865.522466809605,270,0,0.12775106666655725
reliable,edge_inset,6,2,479.1278554134465,476.73501411878726,490.6262642430882,526.9372012020865,0,27516.06176640906,347.5,0,5.762538866667455
reliable,edge_outward,9,3,504.6490339558109,511.3443703793734,522.4522374479482,539.6366536164874,0,29074.700494242654,358.3333333333333,5,5.991803011110379
reliable,minimum_range,6,2,464.3220952949297,473.52361951509204,494.4029288172795,494.8732215728873,0,21434.548286684283,240.5,0,3.427386966666745
reliable,mixed,42,14,454.98874531026667,453.48870412464964,581.9141198473553,621.2484486373148,12,21613.86820545203,226.95238095238096,0,3.378532085714098
reliable,rotated_cluster,6,2,546.2443939467473,544.1786245452857,567.1990540435422,578.9644360584708,0,19041.38636400404,269.6666666666667,0,3.250313766665689
integrated,edge_inset,6,2,407.7986141956816,404.6175997382727,409.48716067787586,446.49973907828127,2,22089.72246898787,334,0,10.306735450000511
integrated,edge_outward,9,3,397.63930459671474,399.673875125546,408.6604214980542,411.84383126535033,5,21467.255478848292,333,0,7.501559111111419
integrated,minimum_range,6,2,443.47356473525554,443.7489951193637,472.0287374157012,472.1828828376044,0,20308.61154838889,234.5,0,7.75489873333269
integrated,mixed,42,14,440.6470518011998,444.34950799495175,575.7749918285308,619.7989703890158,16,20626.868333454247,223.88095238095238,0,7.538251207142821
integrated,rotated_cluster,6,2,546.7798182094249,545.2176587486297,567.6548882506235,578.7205748032103,0,18899.824243804578,274.1666666666667,0,6.7053990500007785
