initial_visit_index,x_m,y_m,ring
0,0.0,0.0,origin
1,706.3996744053608,-706.3996744053611,inner
2,-1.8351332285223086e-13,-999.0,inner
3,-706.3996744053611,-706.3996744053609,inner
4,-999.0,1.223422152348206e-13,inner
5,-706.3996744053609,706.399674405361,inner
6,6.11711076174103e-14,999.0,inner
7,706.399674405361,706.399674405361,inner
8,999.0,0.0,inner
9,1864.0,0.0,outer
10,1614.2713526541938,931.9999999999999,outer
11,932.0000000000002,1614.2713526541936,outer
12,1.141370816805333e-13,1864.0,outer
13,-931.9999999999995,1614.2713526541938,outer
14,-1614.2713526541938,931.9999999999999,outer
15,-1864.0,2.282741633610666e-13,outer
16,-1614.2713526541936,-932.0000000000002,outer
17,-932.0000000000008,-1614.2713526541934,outer
18,-3.4241124504159993e-13,-1864.0,outer
19,932.0000000000002,-1614.2713526541936,outer
20,1614.2713526541932,-932.0000000000008,outer
